#,Gym Name,Rating,Reviews,City,State
701,Seattle Strength & Performance - Queen Anne,5.0,194,Seattle,WA
702,NW Fitness Project,4.9,131,Seattle,WA
703,Seattle Strength & Performance - Phinney Ridge,5.0,147,Seattle,WA
704,Demco Fitness,5.0,125,Seattle,WA
705,Loft Fitness,4.9,133,Seattle,WA
706,ZUM Fitness,4.6,93,Seattle,WA
707,Village Fitness,5.0,80,Seattle,WA
708,Uplift Fitness,4.9,79,Seattle,WA
709,Athletic Form,4.8,86,Seattle,WA
710,Anytime Fitness,4.6,180,Seattle,WA
711,Seattle Strength and Power,4.9,29,Seattle,WA
712,Emerald City Athletics - Wallingford,4.5,"1,363",Seattle,WA
713,Rainier Health & Fitness,4.7,105,Seattle,WA
714,PRO Club Seattle,4.0,145,Seattle,WA
715,23 Fit Club,4.5,82,Seattle,WA
716,777 Strength & Conditioning,4.9,48,Seattle,WA
717,West Seattle Health Club,4.3,449,Seattle,WA
718,Flow Fitness,4.2,232,Seattle,WA
719,The Lifting Legacy,5.0,111,Seattle,WA
720,Persistence Athletics,4.9,229,Seattle,WA
721,Ofit,4.6,54,Seattle,WA
722,Flex Training Gym,4.9,33,Seattle,WA
723,KlickWay Athletics,4.7,129,Seattle,WA
724,Local Fit - Capitol Hill Personal Trainers & Seattle Fitness Classes,5.0,82,Seattle,WA
725,Fremont Health Club,4.8,104,Seattle,WA
726,RCF Barbell Club,4.8,56,Seattle,WA
727,THE Athletic Club,4.9,447,Denver,CO
728,Chuze Fitness,4.3,"1,394",Denver,CO
729,Pearl Street Fitness,5.0,218,Denver,CO
730,Club Form Denver,4.8,179,Denver,CO
731,The FIIT co.,4.9,238,Denver,CO
732,Denver Gym & Fitness,4.7,203,Denver,CO
733,Fitness in the City - FITC Denver,4.9,127,Denver,CO
734,Project 13 Gyms,5.0,56,Denver,CO
735,Traverse Fitness,4.9,120,Denver,CO
736,Rocky Mountain Flex Fitness,4.9,185,Denver,CO
737,LoHi Athletic Club,4.5,118,Denver,CO
738,VIBE Gym and Wellness Collective,4.6,149,Denver,CO
739,Fit House Denver,5.0,147,Denver,CO
740,Commit Fitness – Gym & Personal Training | Wash Park Denver,5.0,89,Denver,CO
741,The Denver Athletic Club,4.4,469,Denver,CO
742,Fit Collective Denver,5.0,168,Denver,CO
743,The Fitness LAB,4.8,60,Denver,CO
744,Anytime Fitness,4.8,224,Denver,CO
745,Push Gym,5.0,141,Denver,CO
746,Green Door Fitness,4.9,139,Denver,CO
747,Lōgōs Jiu Jitsu,5.0,315,Denver,CO
748,Denver Barbell Club,4.9,73,Denver,CO
749,Colfax Strong Strength & Conditioning,4.9,280,Denver,CO
750,The Gym Colorado,5.0,49,Denver,CO
751,EGYM Fitness Denver,4.9,30,Denver,CO
752,Base6 Fitness,5.0,111,Denver,CO
753,Alchemy 365 LoHi,4.9,64,Denver,CO
754,Endorphin City Park,4.8,143,Denver,CO
755,Summit Strong,4.4,221,Denver,CO
756,TruFusion Denver 9&Co,4.9,675,Denver,CO
757,Commit Fitness – Personal Training & Gym in LoHi Denver,5.0,55,Denver,CO
758,Platform Strength,4.6,49,Denver,CO
759,Perseverance,5.0,284,Denver,CO
760,Lux Strength,5.0,35,Denver,CO
761,Movement RiNo,4.6,445,Denver,CO
762,Transform Colorado,4.5,229,Denver,CO
763,Rocky Mountain Athletics,4.9,53,Denver,CO
764,Boom Lab Fitness,5.0,22,Denver,CO
765,Movement Baker,4.0,432,Denver,CO
766,White Lotus Therapeutics,4.8,392,Denver,CO
767,Lagree Luxe Central Park,4.9,148,Denver,CO
768,VASA Fitness,4.0,"2,734",Denver,CO
769,Muscle + Mindset,4.8,56,Denver,CO
770,ALT Fitness,4.8,16,Denver,CO
771,CrossFit Train,4.9,148,Denver,CO
772,Duality,4.9,196,Denver,CO
773,Rock Fitness: info@rockfitnesslodo.com,4.8,24,Denver,CO
774,Ghost Gym Miami,4.9,187,Miami,FL
775,FORM50 Fitness Miami,4.9,360,Miami,FL
776,Miami Strong Gym,5.0,956,Miami,FL
777,Prestige Miami Fitness Club,4.8,211,Miami,FL
778,Elev8tion Fitness,4.8,683,Miami,FL
779,Omega Wellness Club,4.7,207,Miami,FL
780,Primal Fit Miami,5.0,381,Miami,FL
781,Muscle Beach South Beach,4.8,865,Miami,FL
782,Gymage Miami,4.8,"1,191",Miami,FL
783,Yachtside Fitness: Downtown Miami,4.8,47,Miami,FL
784,LEGACY,4.8,311,Miami,FL
785,SWEAT440 Fitness Brickell,4.8,437,Miami,FL
786,Iramis Gym,4.9,162,Miami,FL
787,SWEAT440 Fitness Midtown Miami,4.8,277,Miami,FL
788,Coolto Gym,4.8,168,Miami,FL
789,Fit 305,4.9,126,Miami,FL
790,"ISI Elite Training - Miami, FL",4.9,251,Miami,FL
791,P3RSONAL | Strength • Nutrition • Mindset,5.0,111,Miami,FL
792,SWEAT440 Fitness Miami Beach,4.9,551,Miami,FL
793,Orangetheory Fitness,4.8,240,Miami,FL
794,Z-Form Fitness,4.8,77,Miami,FL
795,Powerhouse Gym Miami,4.3,961,Miami,FL
796,FITLIFE Fitness Gym,4.7,47,Miami,FL
797,Elev8tion Limited,4.6,318,Miami,FL
798,"ISI Elite Training - Brickell, FL",5.0,95,Miami,FL
799,Miami Iron Gym,4.6,324,Miami,FL
800,SWEAT440 Fitness Upper East Side,5.0,544,Miami,FL
